pe_id,throughput,data_size,epoch_size,group,op,num_pe
30,203825.03,1,16,atomic,fetch-add32,32
31,203813.65,1,16,atomic,fetch-add32,32
0,220181.05,1,32,atomic,fetch-add32,32
1,221703.02,1,32,atomic,fetch-add32,32
2,220350.62,1,32,atomic,fetch-add32,32
3,221111.02,1,32,atomic,fetch-add32,32
4,221245.41,1,32,atomic,fetch-add32,32
5,220880.31,1,32,atomic,fetch-add32,32
6,222879.45,1,32,atomic,fetch-add32,32
7,221236.24,1,32,atomic,fetch-add32,32
8,220796.89,1,32,atomic,fetch-add32,32
9,221814.68,1,32,atomic,fetch-add32,32
10,222056.49,1,32,atomic,fetch-add32,32
11,222662.19,1,32,atomic,fetch-add32,32
12,220860.74,1,32,atomic,fetch-add32,32
13,221612.85,1,32,atomic,fetch-add32,32
14,222560.95,1,32,atomic,fetch-add32,32
15,220581.44,1,32,atomic,fetch-add32,32
16,221430.68,1,32,atomic,fetch-add32,32
17,221308.64,1,32,atomic,fetch-add32,32
18,220872.34,1,32,atomic,fetch-add32,32
19,223254.19,1,32,atomic,fetch-add32,32
20,221187.08,1,32,atomic,fetch-add32,32
21,221289.92,1,32,atomic,fetch-add32,32
22,221002.02,1,32,atomic,fetch-add32,32
23,220946.58,1,32,atomic,fetch-add32,32
24,221346.49,1,32,atomic,fetch-add32,32
25,222377.32,1,32,atomic,fetch-add32,32
26,220637.12,1,32,atomic,fetch-add32,32
27,221143.42,1,32,atomic,fetch-add32,32
28,220980.13,1,32,atomic,fetch-add32,32
29,221901.25,1,32,atomic,fetch-add32,32
30,221021.20,1,32,atomic,fetch-add32,32
31,220714.35,1,32,atomic,fetch-add32,32
0,219765.62,1,64,atomic,fetch-add32,32
1,223344.16,1,64,atomic,fetch-add32,32
2,224035.07,1,64,atomic,fetch-add32,32
3,225135.41,1,64,atomic,fetch-add32,32
4,223467.65,1,64,atomic,fetch-add32,32
5,223626.82,1,64,atomic,fetch-add32,32
6,224925.87,1,64,atomic,fetch-add32,32
7,224022.53,1,64,atomic,fetch-add32,32
8,222464.15,1,64,atomic,fetch-add32,32
9,223264.85,1,64,atomic,fetch-add32,32
10,219784.26,1,64,atomic,fetch-add32,32
11,225187.09,1,64,atomic,fetch-add32,32
12,224676.84,1,64,atomic,fetch-add32,32
13,223543.21,1,64,atomic,fetch-add32,32
14,223867.38,1,64,atomic,fetch-add32,32
15,223782.76,1,64,atomic,fetch-add32,32
16,224351.50,1,64,atomic,fetch-add32,32
17,224157.55,1,64,atomic,fetch-add32,32
18,224216.26,1,64,atomic,fetch-add32,32
19,224018.21,1,64,atomic,fetch-add32,32
