pe_id,throughput,data_size,epoch_size,group,op,num_pe
1,420742.27,1,8,atomic,fetch-add32,16
2,420575.00,1,8,atomic,fetch-add32,16
3,420659.40,1,8,atomic,fetch-add32,16
4,420679.13,1,8,atomic,fetch-add32,16
5,420649.67,1,8,atomic,fetch-add32,16
6,420713.05,1,8,atomic,fetch-add32,16
7,420652.77,1,8,atomic,fetch-add32,16
8,420614.52,1,8,atomic,fetch-add32,16
9,420608.58,1,8,atomic,fetch-add32,16
10,420656.94,1,8,atomic,fetch-add32,16
11,420574.51,1,8,atomic,fetch-add32,16
12,420674.67,1,8,atomic,fetch-add32,16
13,420660.04,1,8,atomic,fetch-add32,16
14,420599.67,1,8,atomic,fetch-add32,16
15,420619.34,1,8,atomic,fetch-add32,16
0,443724.98,1,16,atomic,fetch-add32,16
1,443816.88,1,16,atomic,fetch-add32,16
2,443779.55,1,16,atomic,fetch-add32,16
3,443910.95,1,16,atomic,fetch-add32,16
4,443857.99,1,16,atomic,fetch-add32,16
5,443816.35,1,16,atomic,fetch-add32,16
6,443876.68,1,16,atomic,fetch-add32,16
7,443798.94,1,16,atomic,fetch-add32,16
8,443779.28,1,16,atomic,fetch-add32,16
9,443800.05,1,16,atomic,fetch-add32,16
10,443792.60,1,16,atomic,fetch-add32,16
11,443891.96,1,16,atomic,fetch-add32,16
12,443738.30,1,16,atomic,fetch-add32,16
13,443705.65,1,16,atomic,fetch-add32,16
14,443762.92,1,16,atomic,fetch-add32,16
15,443737.61,1,16,atomic,fetch-add32,16
0,442186.01,1,32,atomic,fetch-add32,16
1,442429.72,1,32,atomic,fetch-add32,16
2,442600.94,1,32,atomic,fetch-add32,16
3,442560.21,1,32,atomic,fetch-add32,16
4,442598.13,1,32,atomic,fetch-add32,16
5,442615.39,1,32,atomic,fetch-add32,16
6,442617.31,1,32,atomic,fetch-add32,16
7,442468.38,1,32,atomic,fetch-add32,16
8,442556.77,1,32,atomic,fetch-add32,16
9,442430.87,1,32,atomic,fetch-add32,16
10,442559.62,1,32,atomic,fetch-add32,16
11,442549.98,1,32,atomic,fetch-add32,16
12,442466.93,1,32,atomic,fetch-add32,16
13,442514.44,1,32,atomic,fetch-add32,16
14,442513.95,1,32,atomic,fetch-add32,16
15,442475.64,1,32,atomic,fetch-add32,16
0,444865.64,1,64,atomic,fetch-add32,16
1,444958.71,1,64,atomic,fetch-add32,16
2,445126.31,1,64,atomic,fetch-add32,16
3,445400.85,1,64,atomic,fetch-add32,16
4,445217.16,1,64,atomic,fetch-add32,16
5,445235.01,1,64,atomic,fetch-add32,16
6,445222.01,1,64,atomic,fetch-add32,16
7,445189.17,1,64,atomic,fetch-add32,16
8,445173.24,1,64,atomic,fetch-add32,16
9,445127.51,1,64,atomic,fetch-add32,16
10,444865.23,1,64,atomic,fetch-add32,16
11,445309.72,1,64,atomic,fetch-add32,16
12,445218.04,1,64,atomic,fetch-add32,16
13,445128.38,1,64,atomic,fetch-add32,16
14,445042.85,1,64,atomic,fetch-add32,16
15,445038.50,1,64,atomic,fetch-add32,16
0,465430.94,1,128,atomic,fetch-add32,16
1,465902.03,1,128,atomic,fetch-add32,16
2,465832.80,1,128,atomic,fetch-add32,16
3,465779.27,1,128,atomic,fetch-add32,16
4,466015.73,1,128,atomic,fetch-add32,16
5,465674.21,1,128,atomic,fetch-add32,16
6,465759.20,1,128,atomic,fetch-add32,16
7,465501.51,1,128,atomic,fetch-add32,16
8,465507.92,1,128,atomic,fetch-add32,16
9,465780.34,1,128,atomic,fetch-add32,16
10,465680.71,1,128,atomic,fetch-add32,16
11,465936.17,1,128,atomic,fetch-add32,16
12,465667.84,1,128,atomic,fetch-add32,16
13,465753.72,1,128,atomic,fetch-add32,16
14,465869.20,1,128,atomic,fetch-add32,16
15,465673.26,1,128,atomic,fetch-add32,16
0,25692.03,1,1,atomic,fetch-add32,32
1,26192.67,1,1,atomic,fetch-add32,32
2,26224.40,1,1,atomic,fetch-add32,32
3,26191.39,1,1,atomic,fetch-add32,32
4,26179.93,1,1,atomic,fetch-add32,32
5,26183.49,1,1,atomic,fetch-add32,32
6,26217.17,1,1,atomic,fetch-add32,32
7,26229.33,1,1,atomic,fetch-add32,32
8,26177.09,1,1,atomic,fetch-add32,32
9,26190.08,1,1,atomic,fetch-add32,32
10,26163.88,1,1,atomic,fetch-add32,32
11,26181.87,1,1,atomic,fetch-add32,32
12,26220.13,1,1,atomic,fetch-add32,32
13,26160.25,1,1,atomic,fetch-add32,32
14,26186.40,1,1,atomic,fetch-add32,32
15,26205.24,1,1,atomic,fetch-add32,32
16,26192.35,1,1,atomic,fetch-add32,32
17,26209.25,1,1,atomic,fetch-add32,32
18,26157.15,1,1,atomic,fetch-add32,32
19,26147.13,1,1,atomic,fetch-add32,32
20,26192.23,1,1,atomic,fetch-add32,32
21,26166.70,1,1,atomic,fetch-add32,32
22,26160.20,1,1,atomic,fetch-add32,32
23,26152.06,1,1,atomic,fetch-add32,32
24,26154.97,1,1,atomic,fetch-add32,32
25,26153.16,1,1,atomic,fetch-add32,32
26,26148.34,1,1,atomic,fetch-add32,32
27,26160.23,1,1,atomic,fetch-add32,32
28,26168.07,1,1,atomic,fetch-add32,32
29,26190.45,1,1,atomic,fetch-add32,32
30,26166.98,1,1,atomic,fetch-add32,32
31,26146.96,1,1,atomic,fetch-add32,32
0,29191.16,1,2,atomic,fetch-add32,32
1,29258.98,1,2,atomic,fetch-add32,32
2,29202.78,1,2,atomic,fetch-add32,32
3,29192.18,1,2,atomic,fetch-add32,32
4,29235.16,1,2,atomic,fetch-add32,32
5,29238.06,1,2,atomic,fetch-add32,32
6,29229.03,1,2,atomic,fetch-add32,32
7,29260.80,1,2,atomic,fetch-add32,32
8,29184.02,1,2,atomic,fetch-add32,32
9,29187.59,1,2,atomic,fetch-add32,32
10,29233.88,1,2,atomic,fetch-add32,32
11,29200.76,1,2,atomic,fetch-add32,32
12,29202.50,1,2,atomic,fetch-add32,32
13,29278.19,1,2,atomic,fetch-add32,32
14,29292.20,1,2,atomic,fetch-add32,32
15,29255.89,1,2,atomic,fetch-add32,32
16,29229.28,1,2,atomic,fetch-add32,32
17,29295.48,1,2,atomic,fetch-add32,32
18,29202.14,1,2,atomic,fetch-add32,32
19,29202.63,1,2,atomic,fetch-add32,32
20,29197.97,1,2,atomic,fetch-add32,32
21,29309.58,1,2,atomic,fetch-add32,32
22,29309.57,1,2,atomic,fetch-add32,32
23,29215.16,1,2,atomic,fetch-add32,32
24,29256.33,1,2,atomic,fetch-add32,32
25,29222.01,1,2,atomic,fetch-add32,32
26,29223.55,1,2,atomic,fetch-add32,32
27,29306.84,1,2,atomic,fetch-add32,32
28,29243.58,1,2,atomic,fetch-add32,32
29,29277.93,1,2,atomic,fetch-add32,32
30,29266.77,1,2,atomic,fetch-add32,32
31,29194.76,1,2,atomic,fetch-add32,32
0,39684.10,1,4,atomic,fetch-add32,32
1,39769.78,1,4,atomic,fetch-add32,32
2,39828.85,1,4,atomic,fetch-add32,32
3,39737.95,1,4,atomic,fetch-add32,32
4,39805.28,1,4,atomic,fetch-add32,32
5,39863.39,1,4,atomic,fetch-add32,32
6,39689.75,1,4,atomic,fetch-add32,32
7,39764.08,1,4,atomic,fetch-add32,32
8,39838.82,1,4,atomic,fetch-add32,32
9,39816.24,1,4,atomic,fetch-add32,32
10,39661.83,1,4,atomic,fetch-add32,32
11,39738.19,1,4,atomic,fetch-add32,32
12,39660.13,1,4,atomic,fetch-add32,32
13,39701.20,1,4,atomic,fetch-add32,32
14,39714.04,1,4,atomic,fetch-add32,32
15,39761.97,1,4,atomic,fetch-add32,32
16,39894.76,1,4,atomic,fetch-add32,32
17,39672.49,1,4,atomic,fetch-add32,32
18,39773.27,1,4,atomic,fetch-add32,32
19,39741.88,1,4,atomic,fetch-add32,32
20,39778.72,1,4,atomic,fetch-add32,32
21,39653.53,1,4,atomic,fetch-add32,32
22,39714.82,1,4,atomic,fetch-add32,32
23,39719.03,1,4,atomic,fetch-add32,32
24,39832.11,1,4,atomic,fetch-add32,32
25,39687.69,1,4,atomic,fetch-add32,32
26,39737.79,1,4,atomic,fetch-add32,32
27,39742.18,1,4,atomic,fetch-add32,32
28,39667.69,1,4,atomic,fetch-add32,32
29,39648.40,1,4,atomic,fetch-add32,32
30,39730.38,1,4,atomic,fetch-add32,32
31,39732.45,1,4,atomic,fetch-add32,32
0,48872.56,1,16,atomic,fetch-add32,32
1,49051.37,1,16,atomic,fetch-add32,32
2,48901.40,1,16,atomic,fetch-add32,32
3,48890.48,1,16,atomic,fetch-add32,32
4,48870.94,1,16,atomic,fetch-add32,32
5,48968.02,1,16,atomic,fetch-add32,32
6,49235.08,1,16,atomic,fetch-add32,32
7,48957.38,1,16,atomic,fetch-add32,32
8,49215.18,1,16,atomic,fetch-add32,32
9,48965.62,1,16,atomic,fetch-add32,32
10,48969.60,1,16,atomic,fetch-add32,32
11,49298.43,1,16,atomic,fetch-add32,32
12,49032.86,1,16,atomic,fetch-add32,32
13,52094.48,1,16,atomic,fetch-add32,32
